,Atomic Number,Symbol,Name,Atomic Mass [kg],Electron Configuration,Electronegativity [Pauling],Atomic Radius [m],Ionization Energy [eV],Electron Affinity [eV],Oxidation States,Standard State,Melting Point [K],Boiling Point [K],Density [kg/m^3],Group Block,Vapor Ref Temperatures [K],Vapor Ref Pressures [Pa],Molar Mass [kg/mol],R_sp [J/kg/K],Heat Capacity [J/kg/K],Heat of Vaporization [J/kg],Heat of Fusion [J/kg],Clausius Constant,Clausius Errors,T(1 Torr) [K]
0,1,H,Hydrogen,1.6737839999999998e-27,1s1,2.2,1.2e-10,13.598,0.754,"+1, -1",Gas,13.81,20.28,0.08988,Nonmetal,"[15.0, 20.0]","[10000.0, 100000.0]",0.00100796946264,8248.376134554997,14304.0,421639.75770344376,58037.472530944615,12.618201109857784,"[8.881784197001252e-16, -0.7655750789653909]",6.616833698593803
1,2,He,Helium,6.6463173e-27,1s2,,1.4e-10,24.587,,0,Gas,0.95,4.22,0.1785,Noble gas,"[3.0, 4.0]","[10000.0, 100000.0]",0.004002478741233,2077.240579531164,5193.0,20712.164975662534,3447.863409700156,12.534006903392475,"[8.881784197001252e-16, -0.7704578164697877]",1.3048929300523895
2,3,Li,Lithium,1.1623499999999999e-26,[He]2s1,0.98,1.82e-10,5.392,0.618,+1,Solid,453.65,1615.0,534.0,Alkali metal,"[797.0, 885.0, 995.0, 1144.0, 1337.0, 1610.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.006999787935,1187.7661633759194,3582.0,19429160.03497469,428584.41253620636,21.00131885224618,"[0.6115378956801831, 0.2403843392574827, -0.04283791261524017, -0.18547715989099278, -0.358325991621366, -0.48915461897263346]",1015.4687988492152
3,4,Be,Beryllium,1.49647298715e-26,[He]2s2,1.57,1.53e-10,9.323,,+2,Solid,1560.0,2744.0,1850.0,Alkaline earth metal,"[1462.0, 1608.0, 1791.0, 2023.0, 2327.0, 2742.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.009011909975916015,922.5692757938266,1825.0,32401566.458204623,876062.9013271421,24.190652503132434,"[0.18302247761812818, 0.047746991702939834, -0.02394811826396681, -0.07499751121433829, -0.1064172493276121, -0.12261658830573574]",1819.9409618159798
4,5,B,Boron,1.7950005e-26,[He]2s2 2p1,2.04,1.92e-10,8.298,0.277,+3,Solid,2348.0,4273.0,2370.0,Metalloid,"[2348.0, 2562.0, 2822.0, 3141.0, 3545.0, 4072.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.010809672511049999,769.1362760066083,1026.0,46994948.2262951,4643988.978267744,26.247494607541505,"[0.25225814550189884, 0.10074521652213853, -0.009275948127828948, -0.1068164042391404, -0.18016607964935916, -0.23705772219147137]",2861.237111439276
5,6,C,Carbon,1.9944265499999997e-26,[He]2s2 2p2,2.55,1.7e-10,11.26,1.263,"+4, +2, -4",Solid,3823.0,4098.0,2267.0,Nonmetal,"[2839.0, 3048.0, 3289.0, 3572.0, 3908.0]","[10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.012010636126754999,692.2290520049485,709.0,59530568.777057506,9741365.799882136,32.93882006410486,"[0.4112182612936919, 0.1263273461813066, -0.10970668530919103, -0.29334396605375457, -0.4400059122902089]",3066.326966480485
6,6,C,Carbon,1.9944265499999997e-26,[He]2s2 2p2,2.55,1.7e-10,11.26,1.263,"+4, +2, -4",Solid,3823.0,4098.0,2267.0,Nonmetal,"[2839.0, 3048.0, 3289.0, 3572.0, 3908.0]","[10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.012010636126754999,692.2290520049485,509.0,59530568.777057506,9741365.799882136,32.93882006410486,"[0.4112182612936919, 0.1263273461813066, -0.10970668530919103, -0.29334396605375457, -0.4400059122902089]",3066.326966480485
7,7,N,Nitrogen,2.3258623499999997e-26,[He] 2s2 2p3,3.04,1.55e-10,14.534,,"+5, +4, +3, +2, +1, -1, -2, -3",Gas,63.15,77.36,1.2506,Nonmetal,"[37.0, 41.0, 46.0, 53.0, 62.0, 77.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.014006575657934998,593.5862885436879,1040.0,199192.15575146026,25702.213645349708,11.863862301210423,"[15.351070058519802, 2.961189049465286, -0.03574159035804769, -0.7472814486688327, -0.9366425495950913, -0.981815173264637]",48.13792513950408
8,8,O,Oxygen,2.65663395e-26,[He]2s2 2p4,3.44,1.52e-10,13.618,1.461,-2,Gas,54.36,90.2,1.4289999999999998,Nonmetal,"[61.0, 73.0, 90.0]","[1000.0, 10000.0, 100000.0]",0.015998515310295,519.6801764879953,918.0,213144.77836613217,13876.287623836171,14.230120409332553,"[0.8196773056469664, -0.45045201316919226, -0.8411799585566255]",43.92530261383202
9,9,F,Fluorine,3.1546848447179995e-26,[He]2s2 2p5,3.98,1.35e-10,17.423,3.339,-1,Gas,53.53,85.03,1.696,Halogen,"[38.0, 44.0, 50.0, 58.0, 69.0, 85.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.018997827603376264,437.63484086582764,824.0,172124.94334977862,13685.775312214813,12.532449910406473,"[7.866320344719673, 2.6366550825428683, 0.06304272542493838, -0.6854034838146412, -0.9072636838255114, -0.9728836751224014]",51.48214125668839
10,10,Ne,Neon,3.350889e-26,[He]2s2 2p6,,1.5399999999999999e-10,21.565,,0,Gas,24.56,27.07,0.8999,Noble gas,"[12.0, 13.0, 15.0, 18.0, 21.0, 27.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.0201793886469,412.0100665823308,1030.0,84739.93092266915,16601.09757841764,18.183699876413073,"[1.8410252451245848, 0.061842552757078284, -0.1246208915345397, -0.13964655730840425, -0.5598591243242845, -0.6120181231907427]",15.474792063646053
11,11,Na,Sodium,3.8174511922649995e-26,[Ne]3s1,0.93,2.27e-10,5.139,0.548,+1,Solid,370.95,1156.0,970.0,Alkali metal,"[554.0, 617.0, 697.0, 802.0, 946.0, 1153.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.022989072824939054,361.6549185481142,1228.0,4237665.465756263,113097.21013104376,21.395037999720405,"[0.27691365315709304, 0.10681189395723889, -0.02113658756942416, -0.11571566305014436, -0.18256990404038043, -0.24455195295690635]",710.0494333388074
12,12,Mg,Magnesium,4.03584525e-26,[Ne]3s2,1.31,1.73e-10,7.646,,+2,Solid,923.0,1363.0,1740.0,Alkaline earth metal,"[701.0, 773.0, 861.0, 971.0, 1132.0, 1361.0]","[1.0, 10.0, 100.0, 1000.0, 10000.0, 100000.0]",0.024304263680024998,342.0844741259591,1022.9999999999999,5266565.639888101,348909.97364258673,22.448239525827592,"[0.6258414377880037, 0.25744262585696553, -0.03718791779412445, -0.2700884836016164, -0.3039797326411212, -0.3138079935315161]",876.9637069122074
